symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2018-12-19 00:00:00+00:00,332.97,347.01,329.74,337.6,8274200,66.594,69.402,65.948,67.52,41371000,0.0,1.0
TSLA,2018-12-20 00:00:00+00:00,315.38,330.29,311.87,327.05,9054500,63.076,66.058,62.374,65.41,45272500,0.0,1.0
TSLA,2018-12-21 00:00:00+00:00,319.77,323.47,312.44,317.4,8016800,63.954,64.694,62.488,63.48,40084000,0.0,1.0
TSLA,2018-12-24 00:00:00+00:00,295.39,314.5,295.2,313.5,5559900,59.078,62.9,59.04,62.7,27799500,0.0,1.0
TSLA,2018-12-26 00:00:00+00:00,326.09,326.97,294.09,300.0,8163100,65.218,65.394,58.818,60.0,40815500,0.0,1.0
TSLA,2018-12-27 00:00:00+00:00,316.13,322.17,301.5,319.84,8569300,63.226,64.434,60.3,63.968,42846500,0.0,1.0
TSLA,2018-12-28 00:00:00+00:00,333.87,336.24,318.41,323.1,9938992,66.774,67.248,63.682,64.62,49694960,0.0,1.0
TSLA,2018-12-31 00:00:00+00:00,332.8,339.21,325.26,337.79,6302338,66.56,67.842,65.052,67.558,31511690,0.0,1.0
TSLA,2019-01-02 00:00:00+00:00,310.12,315.13,298.8,306.1,11658600,62.024,63.026,59.76,61.22,58293000,0.0,1.0
TSLA,2019-01-03 00:00:00+00:00,300.36,309.4,297.38,307.0,6965200,60.072,61.88,59.476,61.4,34826000,0.0,1.0
TSLA,2019-01-04 00:00:00+00:00,317.69,318.0,302.73,306.0,7394100,63.538,63.6,60.546,61.2,36970500,0.0,1.0
TSLA,2019-01-07 00:00:00+00:00,334.96,336.74,317.75,321.72,7551200,66.992,67.348,63.55,64.344,37756000,0.0,1.0
TSLA,2019-01-08 00:00:00+00:00,335.35,344.01,327.02,341.96,7008500,67.07,68.802,65.404,68.392,35042500,0.0,1.0
TSLA,2019-01-09 00:00:00+00:00,338.53,343.5,331.47,335.5,5432900,67.706,68.7,66.294,67.1,27164500,0.0,1.0
TSLA,2019-01-10 00:00:00+00:00,344.97,345.39,331.79,334.4,6056400,68.994,69.078,66.358,66.88,30282000,0.0,1.0
TSLA,2019-01-11 00:00:00+00:00,347.26,348.41,338.77,342.09,5039100,69.452,69.682,67.754,68.418,25195500,0.0,1.0
TSLA,2019-01-14 00:00:00+00:00,334.4,342.5,334.0,342.38,5247300,66.88,68.5,66.8,68.476,26236500,0.0,1.0
TSLA,2019-01-15 00:00:00+00:00,344.43,348.8,334.5,335.0,6056600,68.886,69.76,66.9,67.0,30283000,0.0,1.0
TSLA,2019-01-16 00:00:00+00:00,346.05,352.0,343.5,344.78,4691700,69.21,70.4,68.7,68.956,23458500,0.0,1.0
TSLA,2019-01-17 00:00:00+00:00,347.31,351.5,344.15,346.21,3676700,69.462,70.3,68.83,69.242,18383500,0.0,1.0
TSLA,2019-01-18 00:00:00+00:00,302.26,327.13,299.73,323.0,24150800,60.452,65.426,59.946,64.6,120754000,0.0,1.0
TSLA,2019-01-22 00:00:00+00:00,298.92,308.0,295.5,304.82,12066700,59.784,61.6,59.1,60.964,60333500,0.0,1.0
TSLA,2019-01-23 00:00:00+00:00,287.59,294.5,281.69,292.5,12530000,57.518,58.9,56.338,58.5,62650000,0.0,1.0
TSLA,2019-01-24 00:00:00+00:00,291.51,293.68,279.28,283.03,8012200,58.302,58.736,55.856,56.606,40061000,0.0,1.0
TSLA,2019-01-25 00:00:00+00:00,297.04,298.52,289.55,294.39,7249600,59.408,59.704,57.91,58.878,36248000,0.0,1.0
TSLA,2019-01-28 00:00:00+00:00,296.38,297.46,287.75,292.91,6423300,59.276,59.492,57.55,58.582,32116500,0.0,1.0
TSLA,2019-01-29 00:00:00+00:00,297.46,298.56,291.8,295.27,4621700,59.492,59.712,58.36,59.054,23108500,0.0,1.0
TSLA,2019-01-30 00:00:00+00:00,308.77,309.0,298.49,300.45,11250300,61.754,61.8,59.698,60.09,56251500,0.0,1.0
TSLA,2019-01-31 00:00:00+00:00,307.02,311.56,294.0,301.0,12569200,61.404,62.312,58.8,60.2,62846000,0.0,1.0
TSLA,2019-02-01 00:00:00+00:00,312.21,316.1,303.5,305.42,7283400,62.442,63.22,60.7,61.084,36417000,0.0,1.0
TSLA,2019-02-04 00:00:00+00:00,312.89,315.3,301.88,312.98,7352100,62.578,63.06,60.376,62.596,36760500,0.0,1.0
TSLA,2019-02-05 00:00:00+00:00,321.35,322.44,312.25,312.49,6742800,64.27,64.488,62.45,62.498,33714000,0.0,1.0
TSLA,2019-02-06 00:00:00+00:00,317.22,324.24,315.62,319.59,5038500,63.444,64.848,63.124,63.918,25192500,0.0,1.0
TSLA,2019-02-07 00:00:00+00:00,307.51,314.7,303.0,313.3,6520600,61.502,62.94,60.6,62.66,32603000,0.0,1.0
TSLA,2019-02-08 00:00:00+00:00,305.8,307.45,298.5,306.83,5844200,61.16,61.49,59.7,61.366,29221000,0.0,1.0
TSLA,2019-02-11 00:00:00+00:00,312.84,318.6,310.5,311.6,7129700,62.568,63.72,62.1,62.32,35648500,0.0,1.0
TSLA,2019-02-12 00:00:00+00:00,311.81,318.19,309.62,316.2,5517600,62.362,63.638,61.924,63.24,27588000,0.0,1.0
TSLA,2019-02-13 00:00:00+00:00,308.17,312.75,305.57,312.35,5135700,61.634,62.55,61.114,62.47,25678500,0.0,1.0
TSLA,2019-02-14 00:00:00+00:00,303.77,306.77,301.0,303.38,5200800,60.754,61.354,60.2,60.676,26004000,0.0,1.0
TSLA,2019-02-15 00:00:00+00:00,307.88,308.0,303.9,304.5,3904900,61.576,61.6,60.78,60.9,19524500,0.0,1.0
TSLA,2019-02-19 00:00:00+00:00,305.64,311.54,305.47,306.56,4168400,61.128,62.308,61.094,61.312,20842000,0.0,1.0
TSLA,2019-02-20 00:00:00+00:00,302.56,306.3,299.0,304.41,7085800,60.512,61.26,59.8,60.882,35429000,0.0,1.0
TSLA,2019-02-21 00:00:00+00:00,291.23,303.2399,290.5,301.81,8909182,58.246,60.64798,58.1,60.362,44545910,0.0,1.0
TSLA,2019-02-22 00:00:00+00:00,294.71,296.5,292.1,294.49,5740558,58.942,59.3,58.42,58.898,28702790,0.0,1.0
TSLA,2019-02-25 00:00:00+00:00,298.77,302.9,297.0,297.91,6626500,59.754,60.58,59.4,59.582,33132500,0.0,1.0
TSLA,2019-02-26 00:00:00+00:00,297.86,302.01,288.77,292.22,8582500,59.572,60.402,57.754,58.444,42912500,0.0,1.0
TSLA,2019-02-27 00:00:00+00:00,314.74,316.3,300.55,301.78,11183900,62.948,63.26,60.11,60.356,55919500,0.0,1.0
TSLA,2019-02-28 00:00:00+00:00,319.88,320.0,310.81,318.92,10520700,63.976,64.0,62.162,63.784,52603500,0.0,1.0
TSLA,2019-03-01 00:00:00+00:00,294.79,307.13,291.9,306.94,22874000,58.958,61.426,58.38,61.388,114370000,0.0,1.0
TSLA,2019-03-04 00:00:00+00:00,285.36,299.0,282.78,298.12,17096800,57.072,59.8,56.556,59.624,85484000,0.0,1.0
TSLA,2019-03-05 00:00:00+00:00,276.54,284.0,270.1,282.0,18764700,55.308,56.8,54.02,56.4,93823500,0.0,1.0
TSLA,2019-03-06 00:00:00+00:00,276.24,281.51,274.39,276.48,10335500,55.248,56.302,54.878,55.296,51677500,0.0,1.0
TSLA,2019-03-07 00:00:00+00:00,276.59,284.7,274.25,278.84,9442500,55.318,56.94,54.85,55.768,47212500,0.0,1.0
TSLA,2019-03-08 00:00:00+00:00,284.14,285.59,275.89,276.91,8819600,56.828,57.118,55.178,55.382,44098000,0.0,1.0
TSLA,2019-03-11 00:00:00+00:00,290.92,291.28,280.5,283.52,7392300,58.184,58.256,56.1,56.704,36961500,0.0,1.0
TSLA,2019-03-12 00:00:00+00:00,283.36,288.07,281.06,286.49,7504100,56.672,57.614,56.212,57.298,37520500,0.0,1.0
TSLA,2019-03-13 00:00:00+00:00,288.96,291.99,282.7,283.9,6844700,57.792,58.398,56.54,56.78,34223500,0.0,1.0
TSLA,2019-03-14 00:00:00+00:00,289.96,295.39,288.29,292.45,7074200,57.992,59.078,57.658,58.49,35371000,0.0,1.0
TSLA,2019-03-15 00:00:00+00:00,275.43,283.72,274.4,283.51,14785500,55.086,56.744,54.88,56.702,73927500,0.0,1.0
TSLA,2019-03-18 00:00:00+00:00,269.49,278.05,267.3,276.0,10268200,53.898,55.61,53.46,55.2,51341000,0.0,1.0
TSLA,2019-03-19 00:00:00+00:00,267.47,273.3,263.46,267.5,11800600,53.494,54.66,52.692,53.5,59003000,0.0,1.0
TSLA,2019-03-20 00:00:00+00:00,273.6,274.97,266.3,269.69,6908200,54.72,54.994,53.26,53.938,34541000,0.0,1.0
TSLA,2019-03-21 00:00:00+00:00,274.02,276.45,268.45,272.6,5947100,54.804,55.29,53.69,54.52,29735500,0.0,1.0
TSLA,2019-03-22 00:00:00+00:00,264.53,272.8,264.0,272.58,8745600,52.906,54.56,52.8,54.516,43728000,0.0,1.0
